"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
50703235,-71.6,39.5,"NOAA Northeast Fisheries Science Center (NEFSC)","Dermochelys coriacea","2280","2021-08-31","2021-08-31",1,1,1,,,,"7307:391:245","POLYGON((-71.5 39.4,-71.6 39.4,-71.6 39.5,-71.5 39.5,-71.5 39.4))"
50703234,-70.7,39.6,"NOAA Northeast Fisheries Science Center (NEFSC)","Grampus griseus","2280","2021-08-31","2021-08-31",2,17,1,,,,"7307:390:467","POLYGON((-70.7 39.6,-70.8 39.6,-70.8 39.7,-70.7 39.7,-70.7 39.6))"
50703233,-70.4,39.9,"NOAA Northeast Fisheries Science Center (NEFSC)","Tursiops truncatus","2280","2021-08-31","2021-08-31",2,20,1,,,,"7307:390:393","POLYGON((-70.3 39.9,-70.4 39.9,-70.4 40,-70.3 40,-70.3 39.9))"
50703237,-71.1,40.0,"NOAA Northeast Fisheries Science Center (NEFSC)","Mobula tarapacana","2280","2021-08-03","2021-08-03",4,9,1,,,,"7307:391:391","POLYGON((-71.1 39.9,-71.2 39.9,-71.2 40,-71.1 40,-71.1 39.9))"
50703236,-71.3,39.5,"NOAA Northeast Fisheries Science Center (NEFSC)","Carcharodon carcharias","2280","2021-08-31","2021-08-31",1,1,1,,,,"7307:391:353","POLYGON((-71.3 39.5,-71.4 39.5,-71.4 39.6,-71.3 39.6,-71.3 39.5))"
50703254,-71.7,39.7,"NOAA Northeast Fisheries Science Center (NEFSC)","Grampus griseus;Mobula tarapacana;Mola mola","2280","2021-08-03","2021-08-07",5,17,3,,,,"7307:391:467","POLYGON((-71.7 39.6,-71.8 39.6,-71.8 39.7,-71.7 39.7,-71.7 39.6))"
50703249,-71.7,39.7,"NOAA Northeast Fisheries Science Center (NEFSC)","Mobula tarapacana","2280","2021-08-07","2021-08-07",1,1,1,,,,"7307:391:466","POLYGON((-71.6 39.6,-71.7 39.6,-71.7 39.7,-71.6 39.7,-71.6 39.6))"
50703248,-71.5,39.7,"NOAA Northeast Fisheries Science Center (NEFSC)","Eubalaena glacialis;Grampus griseus;Tursiops truncatus","2280","2021-08-03","2021-08-03",4,17,3,,,,"7307:391:465","POLYGON((-71.5 39.6,-71.6 39.6,-71.6 39.7,-71.5 39.7,-71.5 39.6))"
50703240,-71.7,39.6,"NOAA Northeast Fisheries Science Center (NEFSC)","Cheloniidae;Chondrichthyes;Mobula tarapacana","2280","2021-08-07","2021-08-07",3,3,3,,,,"7307:391:457","POLYGON((-71.7 39.5,-71.8 39.5,-71.8 39.6,-71.7 39.6,-71.7 39.5))"
50703243,-71.8,39.5,"NOAA Northeast Fisheries Science Center (NEFSC)","Grampus griseus;Mobula tarapacana;Prionace glauca","2280","2021-08-07","2021-08-07",3,25,3,,,,"7307:391:458","POLYGON((-71.8 39.5,-71.9 39.5,-71.9 39.6,-71.8 39.6,-71.8 39.5))"
50703245,-71.9,39.6,"NOAA Northeast Fisheries Science Center (NEFSC)","Delphinidae;Grampus griseus","2280","2021-08-07","2021-08-07",5,57,2,,,,"7307:391:459","POLYGON((-71.9 39.5,-72 39.5,-72 39.6,-71.9 39.6,-71.9 39.5))"
50703255,-71.8,39.7,"NOAA Northeast Fisheries Science Center (NEFSC)","Grampus griseus","2280","2021-08-03","2021-08-03",1,1,1,,,,"7307:391:468","POLYGON((-71.8 39.6,-71.9 39.6,-71.9 39.7,-71.8 39.7,-71.8 39.6))"
50703260,-71.9,39.8,"NOAA Northeast Fisheries Science Center (NEFSC)","Delphinidae;Mola mola","2280","2021-08-03","2021-08-03",5,11,2,,,,"7307:391:478","POLYGON((-71.8 39.7,-71.9 39.7,-71.9 39.8,-71.8 39.8,-71.8 39.7))"
50703258,-71.6,39.8,"NOAA Northeast Fisheries Science Center (NEFSC)","Grampus griseus;Mobula tarapacana","2280","2021-08-07","2021-08-07",4,38,2,,,,"7307:391:476","POLYGON((-71.6 39.7,-71.7 39.7,-71.7 39.8,-71.6 39.8,-71.6 39.7))"
50703256,-71.6,39.8,"NOAA Northeast Fisheries Science Center (NEFSC)","Grampus griseus","2280","2021-08-07","2021-08-07",1,5,1,,,,"7307:391:475","POLYGON((-71.5 39.7,-71.6 39.7,-71.6 39.8,-71.5 39.8,-71.5 39.7))"
50703261,-71.5,39.9,"NOAA Northeast Fisheries Science Center (NEFSC)","Galeocerdo cuvier","2280","2021-08-07","2021-08-07",1,1,1,,,,"7307:391:495","POLYGON((-71.5 39.9,-71.6 39.9,-71.6 40,-71.5 40,-71.5 39.9))"
50703262,-71.8,39.9,"NOAA Northeast Fisheries Science Center (NEFSC)","Mola mola","2280","2021-08-03","2021-08-03",1,1,1,,,,"7307:391:498","POLYGON((-71.8 39.9,-71.9 39.9,-71.9 40,-71.8 40,-71.8 39.9))"
50703288,-72.4,39.8,"NOAA Northeast Fisheries Science Center (NEFSC)","Caretta caretta;Mola mola","2280","2021-08-07","2021-09-07",4,11,2,,,,"7307:392:374","POLYGON((-72.4 39.7,-72.5 39.7,-72.5 39.8,-72.4 39.8,-72.4 39.7))"
50703289,-72.4,39.9,"NOAA Northeast Fisheries Science Center (NEFSC)","Delphinus delphis","2280","2021-09-07","2021-09-07",1,8,1,,,,"7307:392:393","POLYGON((-72.3 39.9,-72.4 39.9,-72.4 40,-72.3 40,-72.3 39.9))"
50703314,-72.9,39.9,"NOAA Northeast Fisheries Science Center (NEFSC)","Caretta caretta;Chelonia mydas","2280","2021-08-07","2021-08-07",2,2,2,,,,"7307:392:499","POLYGON((-72.9 39.9,-73 39.9,-73 40,-72.9 40,-72.9 39.9))"
